CustomerID,Genre,Age,Annual_Income_(k$),Spending_Score,Cluster,Marketing Strategy
1,Male,19,15,39,2,Focus on budget-friendly promotions and discounts.
2,Male,21,15,81,2,Focus on budget-friendly promotions and discounts.
3,Female,20,16,6,2,Focus on budget-friendly promotions and discounts.
4,Female,23,16,77,2,Focus on budget-friendly promotions and discounts.
5,Female,31,17,40,2,Focus on budget-friendly promotions and discounts.
6,Female,22,17,76,2,Focus on budget-friendly promotions and discounts.
7,Female,35,18,6,0,Target with premium products & exclusive discounts.
8,Female,23,18,94,2,Focus on budget-friendly promotions and discounts.
9,Male,64,19,3,0,Target with premium products & exclusive discounts.
10,Female,30,19,72,2,Focus on budget-friendly promotions and discounts.
11,Male,67,19,14,0,Target with premium products & exclusive discounts.
12,Female,35,19,99,2,Focus on budget-friendly promotions and discounts.
13,Female,58,20,15,0,Target with premium products & exclusive discounts.
14,Female,24,20,77,2,Focus on budget-friendly promotions and discounts.
15,Male,37,20,13,0,Target with premium products & exclusive discounts.
16,Male,22,20,79,2,Focus on budget-friendly promotions and discounts.
17,Female,35,21,35,2,Focus on budget-friendly promotions and discounts.
18,Male,20,21,66,2,Focus on budget-friendly promotions and discounts.
19,Male,52,23,29,0,Target with premium products & exclusive discounts.
20,Female,35,23,98,2,Focus on budget-friendly promotions and discounts.
21,Male,35,24,35,2,Focus on budget-friendly promotions and discounts.
22,Male,25,24,73,2,Focus on budget-friendly promotions and discounts.
23,Female,46,25,5,0,Target with premium products & exclusive discounts.
24,Male,31,25,73,2,Focus on budget-friendly promotions and discounts.
25,Female,54,28,14,0,Target with premium products & exclusive discounts.
26,Male,29,28,82,2,Focus on budget-friendly promotions and discounts.
27,Female,45,28,32,0,Target with premium products & exclusive discounts.
28,Male,35,28,61,2,Focus on budget-friendly promotions and discounts.
29,Female,40,29,31,0,Target with premium products & exclusive discounts.
30,Female,23,29,87,2,Focus on budget-friendly promotions and discounts.
31,Male,60,30,4,0,Target with premium products & exclusive discounts.
32,Female,21,30,73,2,Focus on budget-friendly promotions and discounts.
33,Male,53,33,4,0,Target with premium products & exclusive discounts.
34,Male,18,33,92,2,Focus on budget-friendly promotions and discounts.
35,Female,49,33,14,0,Target with premium products & exclusive discounts.
36,Female,21,33,81,2,Focus on budget-friendly promotions and discounts.
37,Female,42,34,17,0,Target with premium products & exclusive discounts.
38,Female,30,34,73,2,Focus on budget-friendly promotions and discounts.
39,Female,36,37,26,0,Target with premium products & exclusive discounts.
40,Female,20,37,75,2,Focus on budget-friendly promotions and discounts.
41,Female,65,38,35,0,Target with premium products & exclusive discounts.
42,Male,24,38,92,2,Focus on budget-friendly promotions and discounts.
43,Male,48,39,36,0,Target with premium products & exclusive discounts.
44,Female,31,39,61,2,Focus on budget-friendly promotions and discounts.
45,Female,49,39,28,0,Target with premium products & exclusive discounts.
46,Female,24,39,65,2,Focus on budget-friendly promotions and discounts.
47,Female,50,40,55,0,Target with premium products & exclusive discounts.
48,Female,27,40,47,2,Focus on budget-friendly promotions and discounts.
49,Female,29,40,42,2,Focus on budget-friendly promotions and discounts.
50,Female,31,40,42,2,Focus on budget-friendly promotions and discounts.
51,Female,49,42,52,0,Target with premium products & exclusive discounts.
52,Male,33,42,60,2,Focus on budget-friendly promotions and discounts.
53,Female,31,43,54,2,Focus on budget-friendly promotions and discounts.
54,Male,59,43,60,0,Target with premium products & exclusive discounts.
55,Female,50,43,45,0,Target with premium products & exclusive discounts.
56,Male,47,43,41,0,Target with premium products & exclusive discounts.
57,Female,51,44,50,0,Target with premium products & exclusive discounts.
58,Male,69,44,46,0,Target with premium products & exclusive discounts.
59,Female,27,46,51,2,Focus on budget-friendly promotions and discounts.
60,Male,53,46,46,0,Target with premium products & exclusive discounts.
61,Male,70,46,56,0,Target with premium products & exclusive discounts.
62,Male,19,46,55,2,Focus on budget-friendly promotions and discounts.
63,Female,67,47,52,0,Target with premium products & exclusive discounts.
64,Female,54,47,59,0,Target with premium products & exclusive discounts.
65,Male,63,48,51,0,Target with premium products & exclusive discounts.
66,Male,18,48,59,2,Focus on budget-friendly promotions and discounts.
67,Female,43,48,50,0,Target with premium products & exclusive discounts.
68,Female,68,48,48,0,Target with premium products & exclusive discounts.
69,Male,19,48,59,2,Focus on budget-friendly promotions and discounts.
70,Female,32,48,47,2,Focus on budget-friendly promotions and discounts.
71,Male,70,49,55,0,Target with premium products & exclusive discounts.
72,Female,47,49,42,0,Target with premium products & exclusive discounts.
73,Female,60,50,49,0,Target with premium products & exclusive discounts.
74,Female,60,50,56,0,Target with premium products & exclusive discounts.
75,Male,59,54,47,0,Target with premium products & exclusive discounts.
76,Male,26,54,54,2,Focus on budget-friendly promotions and discounts.
77,Female,45,54,53,0,Target with premium products & exclusive discounts.
78,Male,40,54,48,0,Target with premium products & exclusive discounts.
79,Female,23,54,52,2,Focus on budget-friendly promotions and discounts.
80,Female,49,54,42,0,Target with premium products & exclusive discounts.
81,Male,57,54,51,0,Target with premium products & exclusive discounts.
82,Male,38,54,55,2,Focus on budget-friendly promotions and discounts.
83,Male,67,54,41,0,Target with premium products & exclusive discounts.
84,Female,46,54,44,0,Target with premium products & exclusive discounts.
85,Female,21,54,57,2,Focus on budget-friendly promotions and discounts.
86,Male,48,54,46,0,Target with premium products & exclusive discounts.
87,Female,55,57,58,0,Target with premium products & exclusive discounts.
88,Female,22,57,55,2,Focus on budget-friendly promotions and discounts.
89,Female,34,58,60,2,Focus on budget-friendly promotions and discounts.
90,Female,50,58,46,0,Target with premium products & exclusive discounts.
91,Female,68,59,55,0,Target with premium products & exclusive discounts.
92,Male,18,59,41,2,Focus on budget-friendly promotions and discounts.
93,Male,48,60,49,0,Target with premium products & exclusive discounts.
94,Female,40,60,40,0,Target with premium products & exclusive discounts.
95,Female,32,60,42,2,Focus on budget-friendly promotions and discounts.
96,Male,24,60,52,2,Focus on budget-friendly promotions and discounts.
97,Female,47,60,47,0,Target with premium products & exclusive discounts.
98,Female,27,60,50,2,Focus on budget-friendly promotions and discounts.
99,Male,48,61,42,0,Target with premium products & exclusive discounts.
100,Male,20,61,49,2,Focus on budget-friendly promotions and discounts.
101,Female,23,62,41,2,Focus on budget-friendly promotions and discounts.
102,Female,49,62,48,0,Target with premium products & exclusive discounts.
103,Male,67,62,59,0,Target with premium products & exclusive discounts.
104,Male,26,62,55,2,Focus on budget-friendly promotions and discounts.
105,Male,49,62,56,0,Target with premium products & exclusive discounts.
106,Female,21,62,42,2,Focus on budget-friendly promotions and discounts.
107,Female,66,63,50,0,Target with premium products & exclusive discounts.
108,Male,54,63,46,0,Target with premium products & exclusive discounts.
109,Male,68,63,43,0,Target with premium products & exclusive discounts.
110,Male,66,63,48,0,Target with premium products & exclusive discounts.
111,Male,65,63,52,0,Target with premium products & exclusive discounts.
112,Female,19,63,54,2,Focus on budget-friendly promotions and discounts.
113,Female,38,64,42,0,Target with premium products & exclusive discounts.
114,Male,19,64,46,2,Focus on budget-friendly promotions and discounts.
115,Female,18,65,48,2,Focus on budget-friendly promotions and discounts.
116,Female,19,65,50,2,Focus on budget-friendly promotions and discounts.
117,Female,63,65,43,0,Target with premium products & exclusive discounts.
118,Female,49,65,59,0,Target with premium products & exclusive discounts.
119,Female,51,67,43,0,Target with premium products & exclusive discounts.
120,Female,50,67,57,0,Target with premium products & exclusive discounts.
121,Male,27,67,56,2,Focus on budget-friendly promotions and discounts.
122,Female,38,67,40,0,Target with premium products & exclusive discounts.
